"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872566412735","170.54656701937301","1754454278112"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858725675677505","170.5465670500279","1754454278330"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872569180168","170.54656707628988","1754454278500"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872572890419","170.5465670988386","1754454278719"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872575975859","170.54656711771867","1754454278888"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872579164272","170.54656713268093","1754454279108"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872583416868","170.54656714445116","1754454279318"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872584488105","170.54656714020436","1754454279479"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872585170982","170.5465670880094","1754454279697"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872585534861","170.54656704273665","1754454279929"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872585651754","170.54656700391104","1754454280089"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858725869344646","170.54656697183697","1754454280299"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872593267749","170.54656693928086","1754454280519"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872600766033","170.54656688962828","1754454280689"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872606864981","170.54656684319235","1754454280910"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726123784436","170.54656677582835","1754454281131"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872619688197","170.54656669149475","1754454281300"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872627766625","170.54656660720724","1754454281510"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726340911154","170.5465665635782","1754454281740"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872639603573","170.5465665238331","1754454281901"
