Condition,Participant,Age,Gender,Prior VR Familiarity,Prior Drone Familiarity,IPQ1,IPQ2,IPQ3,IPQ4,IPQ5,IPQ6,IPQ7,IPQ8,IPQ9,IPQ10,IPQ11,IPQ12,IPQ13,IPQ14,Presence,Spatial Presence,Involvement,Realness,IPQ Score
Headset,1,21,Female,1,0,2,2,1,0,-2,-2,2,2,2,2,-1,1,-2,-2,2,1.80,-0.25,0.25,0.79
Headset,2,21,Female,1,0,-2,2,1,2,2,-2,2,2,2,2,-3,-3,-3,2,2,2.00,2.25,0.75,1.71
Headset,3,31,Male,1,0,3,2,1,1,-1,-2,-3,1,1,-1,3,-1,2,-1,1,0.20,-2.50,0.25,-0.50
Headset,4,36,Male,2,1,-3,1,0,-1,2,0,3,2,3,3,-3,0,-3,2,2,1.80,2.75,0.50,1.71
Headset,5,20,Female,1,0,1,1,1,2,0,-1,-1,-1,-1,1,1,-1,1,0,-1,0.20,-0.75,0.50,-0.07
Headset,6,23,Male,0,0,-1,1,2,0,2,0,2,1,0,1,-2,-2,-2,1,1,1.00,1.50,0.25,0.93
Headset,7,29,Male,2,0,-3,1,-1,0,2,1,2,0,0,-1,-2,0,1,2,0,-0.80,2.25,0.75,0.57
Headset,8,24,Male,1,0,-2,2,3,3,3,-3,2,3,3,3,2,0,-2,2,3,2.80,1.00,2.00,2.07
Headset,9,33,Male,1,1,-3,3,2,2,2,-2,2,2,2,2,1,-2,-1,3,2,1.80,1.75,1.25,1.64
Headset,10,34,Male,1,0,-3,2,2,0,1,-2,3,2,1,2,-2,2,-2,2,2,1.80,2.50,1.25,1.86
Headset,11,20,Male,2,0,3,-3,1,2,-2,-3,-3,1,-3,3,3,-3,-3,-1,1,1.40,-2.50,-1.50,-0.57
Headset,12,34,Male,1,0,1,1,2,1,-1,-1,1,1,1,1,-1,-2,-2,-1,1,1.40,0.00,-0.25,0.50
Headset,13,36,Male,1,0,3,3,2,2,2,-2,-2,3,2,2,0,-1,-1,2,3,1.80,-0.75,1.50,1.07
Headset,14,40,Male,1,0,-2,2,-3,-3,1,2,1,1,2,1,0,-1,2,1,1,-0.80,1.00,-0.25,0.00
Headset,15,29,Male,1,0,1,2,3,0,-1,-2,0,-2,1,-1,-2,-3,-1,1,-2,1.20,0.50,-0.50,0.29
Headset,16,28,Male,2,0,-2,2,-2,1,0,-3,-1,2,2,3,-2,-2,-3,3,2,1.80,1.50,0.25,1.29
