Condition,Participant,Age,Gender,Prior VR Familiarity,Prior Drone Familiarity,IPQ1,IPQ2,IPQ3,IPQ4,IPQ5,IPQ6,IPQ7,IPQ8,IPQ9,IPQ10,IPQ11,IPQ12,IPQ13,IPQ14,Presence,Spatial Presence,Involvement,Realness,IPQ Score
Joystocks-HMD,1,21,Female,1,0,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-3,2,-1,-2,-2.00,0.25,-2.25,-1.43
Joystocks-HMD,2,21,Female,1,0,-2,1,1,2,1,-1,1,1,1,1,-1,-3,-2,1,1,1.20,1.25,0.25,0.93
Joystocks-HMD,3,31,Male,1,0,-3,1,-1,2,1,-2,2,2,2,1,-2,1,-1,2,2,1.00,2.25,1.25,1.50
Joystocks-HMD,4,36,Male,2,1,-1,3,-1,2,2,2,0,-1,-3,-2,1,-3,-2,-1,-1,-1.20,-0.25,1.00,-0.29
Joystocks-HMD,5,20,Female,1,0,1,1,1,1,0,1,-1,1,0,1,1,0,0,0,1,0.20,-0.75,0.50,0.07
Joystocks-HMD,6,23,Male,0,0,-3,1,2,2,2,-2,3,2,1,1,-3,0,-3,3,2,1.80,3.00,1.25,2.00
Joystocks-HMD,7,29,Male,2,0,-2,2,2,2,1,-1,2,1,1,1,-2,-2,-1,2,1,1.20,2.00,0.75,1.29
Joystocks-HMD,8,24,Male,1,0,-3,3,1,2,2,-1,3,1,3,2,-3,0,-3,2,1,2.00,2.75,1.75,2.07
Joystocks-HMD,9,33,Male,1,1,-2,2,2,2,2,3,3,2,3,3,-3,3,-1,3,2,1.20,2.75,2.25,2.00
Joystocks-HMD,10,34,Male,1,0,1,1,0,-1,0,-1,1,1,2,1,-2,2,-2,1,1,1.20,0.75,0.50,0.86
Joystocks-HMD,11,20,Male,2,0,3,-3,-3,2,-3,-2,-3,2,2,2,3,-3,-3,-3,2,1.20,-3.00,-1.75,-0.79
Joystocks-HMD,12,34,Male,1,0,2,-2,-2,-2,-2,-1,-2,-2,1,1,1,-3,2,-2,-2,-0.20,-1.75,-2.25,-1.36
Joystocks-HMD,13,36,Male,1,0,-3,1,3,1,1,-2,2,2,2,2,-2,-2,-3,3,2,2.40,2.50,0.25,1.79
Joystocks-HMD,14,40,Male,1,0,1,2,1,-1,-1,1,-1,1,-1,-1,0,-1,-2,1,1,0.00,-0.25,-0.25,-0.07
Joystocks-HMD,15,29,Male,1,0,2,2,-1,0,1,-1,-1,-1,-2,-2,-1,0,-1,-1,-1,-0.60,-0.75,0.75,-0.29
Joystocks-HMD,16,28,Male,2,0,-2,-1,1,-1,-1,-2,2,1,2,2,-2,-3,1,1,1,1.20,1.75,-1.50,0.57
